Time (s),Rel X (m),Rel Y (m)
2.058548,0.184807,0.869215
2.062553,0.184136,0.873570
2.066558,0.183582,0.878000
2.070563,0.183165,0.882497
2.074568,0.182906,0.887056
2.078572,0.182822,0.891664
2.082577,0.182931,0.896311
2.086582,0.183249,0.900981
2.090587,0.183791,0.905659
2.094592,0.184572,0.910328
2.098597,0.185606,0.914969
2.102602,0.186902,0.919563
2.106607,0.188464,0.924094
2.110612,0.190292,0.928543
2.114617,0.192380,0.932892
2.118622,0.194718,0.937118
2.122627,0.197289,0.941198
2.126632,0.200070,0.945109
2.130637,0.203037,0.948823
2.134642,0.206165,0.952319
2.138647,0.209422,0.955577
2.142652,0.212777,0.958582
2.146657,0.216195,0.961324
2.150662,0.219645,0.963797
2.154667,0.223090,0.966002
2.158672,0.226498,0.967952
2.162677,0.229836,0.969669
2.166682,0.233076,0.971182
2.170686,0.236193,0.972521
2.174691,0.239169,0.973716
2.178696,0.241992,0.974794
2.182701,0.244654,0.975774
2.186706,0.247153,0.976670
2.190711,0.249491,0.977487
2.194716,0.251671,0.978228
2.198721,0.253705,0.978891
2.202726,0.255602,0.979470
2.206731,0.257379,0.979962
2.210736,0.259050,0.980360
2.214741,0.260632,0.980661
2.218746,0.262143,0.980861
2.222751,0.263598,0.980956
2.226756,0.265015,0.980940
2.230761,0.266408,0.980809
2.234766,0.267786,0.980558
2.238771,0.269156,0.980178
2.242776,0.270525,0.979666
2.246781,0.271894,0.979016
2.250786,0.273266,0.978227
2.254791,0.274636,0.977301
2.258796,0.276003,0.976241
2.262800,0.277360,0.975056
2.266805,0.278701,0.973753
2.270810,0.280023,0.972341
2.274815,0.281322,0.970828
2.278820,0.282600,0.969221
2.282825,0.283858,0.967528
2.286830,0.285101,0.965758
2.290835,0.286336,0.963923
2.294840,0.287573,0.962033
2.298845,0.288823,0.960098
2.302850,0.290099,0.958130
2.306855,0.291415,0.956140
2.310860,0.292782,0.954141
2.314865,0.294215,0.952145
2.318870,0.295724,0.950164
2.322875,0.297316,0.948207
2.326880,0.298998,0.946282
2.330885,0.300769,0.944391
2.334890,0.302627,0.942538
2.338895,0.304570,0.940721
2.342900,0.306590,0.938942
2.346905,0.308683,0.937203
2.350910,0.310838,0.935508
2.354914,0.313050,0.933860
2.358919,0.315308,0.932263
2.362924,0.317602,0.930721
2.366929,0.319922,0.929234
2.370934,0.322258,0.927801
2.374939,0.324601,0.926421
2.378944,0.326943,0.925091
2.382949,0.329279,0.923807
2.386954,0.331605,0.922565
2.390959,0.333920,0.921362
2.394964,0.336226,0.920192
2.398969,0.338526,0.919049
2.402974,0.340820,0.917928
